id,score
ENSE00000332835_007,0.0
ENSE00000338771_013,0.0
ENSE00000373145_003,0.01
ENSE00000373145_013,0.0
ENSE00000377990_003,0.02
ENSE00000377990_015,0.0
ENSE00000379229_005,0.01
ENSE00000379234_001,0.0
ENSE00000400053_011,0.0
ENSE00000406138_007,0.0
ENSE00000406871_004,0.0
ENSE00000406871_012,0.01
ENSE00000406871_021,0.35
ENSE00000411843_009,0.0
ENSE00000411843_018,0.0
ENSE00000411843_028,0.0
ENSE00000412978_006,0.06
ENSE00000430832_010,0.01
ENSE00000434370_011,0.0
ENSE00000436145_008,0.01
ENSE00000502777_010,0.0
ENSE00000521581_003,0.68
ENSE00000525807_009,0.03
ENSE00000535552_002,0.14
ENSE00000535552_012,0.02
ENSE00000535552_023,0.23
ENSE00000542500_003,0.0
ENSE00000542500_014,0.0
ENSE00000542500_023,0.0
ENSE00000564470_009,0.0
ENSE00000564470_018,0.02
ENSE00000576053_005,0.0
ENSE00000576053_017,0.07
ENSE00000576053_026,0.0
ENSE00000583150_010,0.01
ENSE00000648350_018,0.01
ENSE00000650335_010,0.01
ENSE00000650335_021,0.02
ENSE00000650337_009,0.02
ENSE00000651221_004,0.03
ENSE00000651221_015,0.08
ENSE00000651221_028,0.03
ENSE00000651893_008,0.01
ENSE00000651893_017,0.13
ENSE00000652099_011,0.0
ENSE00000654359_004,0.0
ENSE00000654359_013,0.0
ENSE00000654726_004,0.03
ENSE00000654726_012,0.01
ENSE00000654726_021,0.06
ENSE00000654757_002,0.08
ENSE00000654866_013,0.0
ENSE00000655095_001,0.0
ENSE00000655414_001,0.0
ENSE00000655414_011,0.02
ENSE00000655414_022,0.01
ENSE00000657431_004,0.0
ENSE00000657431_015,0.0
ENSE00000658029_012,0.0
ENSE00000658402_006,0.0
ENSE00000658419_004,0.02
ENSE00000658419_013,0.01
ENSE00000658419_021,0.0
ENSE00000658636_002,0.0
ENSE00000658636_012,0.0
ENSE00000658639_024,0.01
ENSE00000658753_027,0.0
ENSE00000658850_008,0.0
ENSE00000658850_016,0.01
ENSE00000659433_010,0.01
ENSE00000660106_002,0.03
ENSE00000660106_010,0.05
ENSE00000660106_019,0.21
ENSE00000660106_028,0.06
ENSE00000660167_009,0.0
ENSE00000660167_018,0.0
ENSE00000660516_007,0.03
ENSE00000660516_016,0.0
ENSE00000660516_025,0.0
ENSE00000660516_034,0.0
ENSE00000660518_002,0.0
ENSE00000660518_014,0.0
ENSE00000660518_025,0.0
ENSE00000660559_014,0.0
ENSE00000660560_005,0.01
ENSE00000661764_007,0.0
ENSE00000661764_017,0.0
ENSE00000661950_007,0.07
ENSE00000661950_018,0.0
ENSE00000661950_027,0.0
ENSE00000662205_006,0.03
ENSE00000662795_005,0.03
ENSE00000662795_014,0.08
ENSE00000664260_003,0.09
ENSE00000664260_017,0.86
ENSE00000664260_027,0.0
ENSE00000664344_025,0.0
ENSE00000664939_008,0.0
ENSE00000665751_003,0.0
ENSE00000665751_012,0.0
ENSE00000665751_021,0.12
ENSE00000666326_019,0.05
ENSE00000667042_002,0.01
ENSE00000667042_015,0.0
ENSE00000667042_028,0.0
ENSE00000667260_007,0.0
ENSE00000667504_012,0.02
ENSE00000667504_046,0.08
ENSE00000668103_010,0.01
ENSE00000668103_018,0.01
ENSE00000668406_001,0.0
ENSE00000668638_002,0.01
ENSE00000668750_003,0.0
ENSE00000668750_011,0.0
ENSE00000668750_022,0.0
